row_id;kmed_dfr;kmed_hd;kmed_dtw;kmed_edr;kmed_erp;kmed_sspd;dbscan_dfr;dbscan_hd;dbscan_dtw;dbscan_edr;dbscan_erp;dbscan_sspd;hdbscan_dfr;hdbscan_hd;hdbscan_dtw;hdbscan_edr;hdbscan_erp;hdbscan_sspd;agglomorative_dfr;agglomorative_hd;agglomorative_dtw;agglomorative_edr;agglomorative_erp;agglomorative_sspd;spectral_dfr;spectral_hd;spectral_dtw;spectral_edr;spectral_erp;spectral_sspd
0;13;13;12;9;0;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;7;10;2;11;13;5;4;5;11;10;4
1;13;13;12;1;1;14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;10;10;11;13;14;5;4;5;5;10;4
2;13;13;12;9;14;14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;10;8;8;9;14;5;4;13;10;10;4
3;13;13;3;9;10;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8;7;6;5;10;12;5;4;5;5;10;4
4;13;13;12;9;3;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8;7;6;6;12;13;5;4;5;5;10;4
5;9;9;9;9;9;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;1;1;6;0;2;10;8;6;1;7;12
6;9;9;9;9;9;9;-1;0;-1;-1;-1;0;4;1;-1;-1;0;1;3;12;1;1;0;1;0;6;6;0;7;1
7;9;9;9;9;9;9;-1;0;-1;-1;-1;0;4;-1;1;-1;0;1;3;12;1;4;0;1;0;6;6;1;7;1
8;9;9;9;9;9;9;-1;0;-1;-1;-1;0;4;-1;1;-1;-1;1;3;12;1;7;0;1;0;6;6;1;7;1
9;9;9;9;9;9;9;-1;0;-1;-1;-1;0;4;-1;1;-1;0;1;3;12;1;1;0;1;0;6;6;7;7;1
10;12;2;13;9;13;4;-1;-1;-1;-1;-1;0;4;-1;-1;-1;1;-1;14;0;4;13;2;9;10;10;0;9;0;13
11;12;2;13;9;13;13;-1;-1;-1;-1;-1;0;4;-1;-1;-1;1;-1;14;0;4;0;2;9;10;10;0;12;0;13
12;12;2;13;9;13;13;-1;-1;-1;-1;-1;0;4;-1;-1;-1;1;-1;14;0;4;2;2;4;10;10;0;1;0;7
13;12;2;13;9;13;13;-1;-1;-1;-1;-1;0;4;-1;-1;-1;1;0;14;0;4;0;2;9;10;10;0;3;0;13
14;12;2;13;9;13;13;-1;-1;-1;-1;-1;0;4;-1;-1;-1;1;-1;14;0;4;3;2;9;10;10;0;1;0;13
15;11;12;11;9;7;12;-1;0;-1;-1;0;0;3;0;0;-1;0;-1;11;6;9;5;6;7;7;1;10;2;8;2
16;11;0;5;9;4;1;-1;0;-1;-1;-1;0;3;-1;0;-1;0;-1;11;0;9;13;6;6;7;9;10;1;8;7
17;11;0;5;9;4;1;-1;0;-1;-1;-1;0;3;-1;0;-1;0;-1;11;0;9;2;6;4;7;9;10;2;8;7
18;11;0;5;9;4;1;-1;0;-1;-1;-1;0;3;0;-1;-1;0;-1;11;0;9;9;6;4;7;9;10;7;8;7
19;11;12;11;9;7;12;-1;0;-1;-1;0;0;3;0;0;-1;0;0;11;6;9;8;6;7;7;1;10;14;8;2
20;2;3;11;9;7;2;-1;0;0;-1;-1;0;3;-1;0;-1;0;-1;2;3;7;4;5;3;12;13;13;1;14;11
21;2;3;11;3;7;2;-1;0;0;-1;0;0;3;0;0;-1;0;0;2;3;7;6;4;3;12;13;9;10;14;11
22;2;3;11;2;2;11;-1;0;0;-1;0;0;3;1;0;-1;0;0;2;3;7;1;4;3;12;2;9;11;3;11
23;2;3;11;1;2;2;-1;0;0;-1;0;0;3;-1;0;-1;0;0;2;3;7;2;4;3;12;2;9;0;3;11
24;2;3;11;1;2;2;-1;0;0;-1;0;0;3;1;0;-1;0;-1;2;3;7;0;4;5;12;2;9;3;3;11
25;5;14;4;9;5;8;-1;0;-1;-1;-1;0;-1;0;0;-1;0;0;0;6;5;0;1;6;4;12;7;1;6;0
26;5;5;4;9;5;5;-1;0;-1;-1;-1;0;-1;0;0;-1;0;0;0;13;5;11;1;3;4;3;7;13;6;2
27;5;5;4;1;5;5;-1;0;-1;-1;-1;0;-1;0;0;-1;0;0;0;13;5;12;1;3;4;13;7;8;6;2
28;5;5;4;4;5;5;-1;0;-1;-1;-1;0;-1;0;0;-1;0;-1;0;13;5;7;1;3;4;3;7;11;6;2
29;5;5;4;9;5;5;-1;0;-1;-1;-1;0;-1;0;0;-1;0;0;0;13;5;14;1;3;4;3;7;2;6;0
30;8;11;0;1;11;8;-1;-1;1;-1;0;0;-1;-1;0;-1;0;-1;1;1;13;5;4;2;1;12;3;9;4;12
31;8;14;8;1;11;8;-1;0;1;-1;0;0;3;0;0;-1;0;0;1;6;13;11;4;1;1;3;8;0;13;0
32;8;14;8;1;11;8;-1;0;1;-1;0;0;3;0;0;-1;0;0;1;6;13;13;4;1;1;12;8;12;13;0
33;8;14;8;1;11;8;-1;0;1;-1;0;0;-1;0;0;-1;0;0;1;6;13;9;4;1;1;3;8;12;13;0
34;8;14;8;1;11;8;-1;0;1;-1;0;0;-1;0;0;-1;0;0;1;6;13;4;4;1;1;3;8;3;13;0
35;14;8;1;0;8;3;0;0;2;-1;0;0;1;0;0;-1;0;0;7;8;0;8;4;10;9;11;1;11;5;5
36;14;8;1;7;8;3;0;0;2;-1;0;0;1;0;0;-1;0;0;7;8;0;9;4;10;9;11;1;10;5;5
37;14;8;1;1;8;3;0;0;2;-1;0;0;1;-1;0;-1;0;-1;7;8;0;9;4;10;9;11;1;6;5;3
38;14;8;1;1;8;3;0;0;2;-1;0;0;1;0;0;-1;0;0;7;8;0;6;4;10;9;11;1;9;5;3
39;14;8;1;14;8;3;0;0;2;-1;0;0;1;0;0;-1;0;-1;7;8;0;10;4;10;9;11;1;11;5;3
40;10;0;10;13;12;10;-1;0;3;-1;0;0;2;0;0;-1;0;-1;0;9;2;5;3;7;13;0;14;10;12;9
41;10;10;10;12;12;10;-1;0;3;-1;0;0;2;0;0;-1;0;0;0;9;2;2;3;7;13;0;1;11;12;9
42;10;10;10;5;12;10;-1;0;3;-1;0;0;2;0;0;-1;0;0;0;9;2;0;3;11;13;0;14;11;12;5
43;10;10;10;1;12;10;-1;0;3;-1;0;0;2;0;0;-1;0;0;0;9;2;6;3;11;13;0;1;12;12;5
44;10;10;10;9;12;10;-1;0;3;-1;0;0;2;0;0;-1;0;0;0;9;2;9;3;7;13;0;14;6;12;5
45;0;12;14;9;7;12;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;6;2;12;3;7;11;1;4;1;8;5
46;0;12;14;11;7;12;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;6;2;4;3;7;11;1;4;10;8;2
47;0;12;14;1;7;12;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;6;2;5;3;7;11;1;4;12;14;5
48;0;12;14;8;7;12;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;6;2;3;3;7;11;1;4;11;14;2
49;0;10;14;1;7;5;-1;0;0;-1;0;0;3;0;0;-1;0;0;13;13;2;3;3;7;11;13;4;3;14;2
50;7;7;7;10;11;11;-1;0;-1;-1;0;0;-1;-1;0;-1;0;-1;9;9;0;0;4;11;3;14;11;11;2;6
51;7;10;7;9;6;5;-1;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;10;14;11;11;8;12;3;4;8;1;4;4
52;7;7;7;9;11;7;-1;0;-1;-1;0;0;5;0;0;-1;0;0;9;4;0;13;4;4;3;8;11;10;4;3
53;7;7;7;1;11;7;-1;0;1;-1;0;0;-1;-1;0;-1;0;-1;9;4;0;1;4;4;3;14;11;8;2;14
54;7;7;7;1;11;7;-1;0;-1;-1;0;0;-1;0;0;-1;0;-1;9;4;0;8;4;4;3;14;11;0;2;14
55;1;1;11;1;2;0;1;0;0;-1;0;0;3;-1;0;-1;0;-1;2;11;13;10;4;0;12;2;9;0;3;8
56;1;1;11;1;2;11;1;0;0;-1;0;0;3;1;0;-1;0;0;2;11;13;13;4;5;2;2;9;1;3;11
57;1;1;11;1;2;11;1;0;0;-1;0;0;3;1;0;-1;0;0;2;11;13;0;4;5;2;2;9;1;11;6
58;1;1;11;1;2;11;1;0;0;-1;0;0;3;-1;0;-1;0;0;2;11;13;0;4;5;2;2;9;1;11;6
59;1;1;11;1;2;11;1;0;0;-1;0;0;3;1;0;-1;0;0;2;11;13;1;4;5;2;2;9;1;11;6
60;4;4;0;1;11;0;-1;-1;1;-1;0;-1;5;-1;0;-1;0;-1;4;2;13;6;4;0;6;5;3;5;2;8
61;4;11;0;1;11;0;-1;0;1;-1;0;0;5;-1;0;-1;0;0;4;2;13;5;4;8;6;5;11;5;2;14
62;4;11;0;1;11;11;-1;0;1;-1;0;0;5;0;0;-1;0;0;4;4;13;2;4;5;6;14;11;11;2;6
63;4;8;0;9;11;7;-1;-1;1;-1;0;0;5;-1;0;-1;0;-1;4;2;13;11;4;8;6;5;3;5;2;14
64;4;11;0;1;11;0;-1;0;1;-1;0;0;5;-1;0;-1;0;-1;4;2;13;8;4;8;6;5;3;10;2;14
65;6;10;6;9;6;6;-1;-1;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;6;5;14;5;14;11;8;7;2;1;1;10
66;6;10;6;9;6;6;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;-1;6;5;3;10;14;11;8;7;2;4;1;10
67;6;6;6;9;6;6;-1;-1;-1;-1;-1;0;0;-1;-1;-1;0;-1;6;5;3;8;7;1;8;7;2;1;1;10
68;6;6;6;9;6;9;-1;0;-1;-1;-1;0;0;-1;1;-1;0;1;6;5;3;3;7;1;8;7;2;14;1;1
69;6;6;6;9;6;12;-1;0;-1;-1;-1;0;0;-1;1;-1;0;1;6;5;3;6;7;1;8;7;2;2;1;9
70;3;4;2;1;11;0;-1;0;1;-1;0;0;6;-1;0;-1;0;-1;12;4;12;4;4;0;14;8;12;4;9;8
71;3;4;2;1;11;0;-1;0;1;-1;0;0;6;0;0;-1;0;0;12;4;12;7;4;0;14;8;12;0;2;8
72;3;4;2;6;11;0;-1;0;1;-1;0;0;6;-1;0;-1;0;-1;12;4;12;11;4;0;14;8;12;11;9;8
73;3;5;2;1;11;11;-1;0;1;-1;0;0;6;0;0;-1;0;0;12;13;12;2;4;5;14;13;12;12;9;5
74;3;12;2;1;11;10;-1;0;1;-1;0;0;6;0;0;-1;0;0;12;13;12;14;4;5;14;14;12;12;9;5
